H C M X
  -2.0017650666698125E-002   2.2070628114124989E-003  -1.4584733191017095E-004   1.1788964869053700E-003
  -3.9568020889122320E-002   2.2388339708215169E-003   4.1169200911706819E-005   1.2111448279053542E-003
  -6.0145907111472448E-002   2.2309165126312897E-003   3.6868238557187771E-004   1.2544793338541223E-003
  -7.9883512000473084E-002   2.2330211959879810E-003   1.0585431359678856E-004   1.3214088641258848E-003
 -0.10051342000027247        2.2534933063336361E-003   9.5207526254314394E-004   1.3627632409413397E-003
 -0.12089523066706929        2.2664285252729961E-003  -8.3134547509561014E-004   1.4265569866112626E-003
 -0.14134711244524584        2.3048578138623564E-003  -3.7904012868365128E-004   1.4880376827250941E-003
 -0.16203485377908738        2.2776593610326253E-003  -3.9588510675919340E-004   1.5571756218216574E-003
 -0.18184397777963868        2.3418346886267052E-003   3.1067035131900257E-004   1.6273012158715123E-003
 -0.20322778178009665        2.3061382714312170E-003   6.6325822424259401E-004   1.7828212124572018E-003
 -0.22429149511295771        2.3682375450750776E-003  -2.5574016684974125E-005   1.7938509275592868E-003
 -0.24617714044588734        2.4229486703604905E-003   4.2282514733186989E-004   1.9246939572677506E-003
 -0.26722591600214474        2.4376003613790220E-003  -1.5480965995231735E-004   2.0281085550044623E-003
 -0.28896102933552781        2.4253562208858409E-003  -9.0872040544863507E-004   2.1566597931955535E-003
 -0.31118462178014761        2.4981318824852383E-003  -2.9661928670025823E-004   2.1988764903742874E-003
 -0.33451380000291414        2.5536286229102118E-003   1.1374908226139914E-003   2.4694309249204010E-003
 -0.35732933067032097        2.5834284779121808E-003  -6.3276173222154611E-004   2.5515072686817268E-003
 -0.38082278311593670        2.6559894551279051E-003   5.1874611320921278E-004   2.8155541029301900E-003
 -0.40395189556077638        2.6757992783386364E-003   2.8817797174774524E-005   2.9064334896302460E-003
 -0.42787046489426661        2.7360765773022377E-003   5.6698763646094139E-005   3.2049375881745053E-003
 -0.45335463022602462        2.8104063627558684E-003   8.5254611456961338E-004   3.2370251435662042E-003
 -0.47809555289093469        2.8655712489522867E-003  -6.0935893960442447E-005   3.6374206921664380E-003
 -0.50402423422175213        2.8157515310717751E-003   1.0398120789922912E-003   4.0184936789465688E-003
 -0.53004461510874568        2.9589684508238290E-003  -7.7796158855098180E-004   4.2059276124451275E-003
 -0.55599049199693285        3.0811655715725639E-003  -6.1267546289914200E-004   4.6359812897437585E-003
 -0.58422669421958962        3.1157331305786129E-003   1.4121801626298912E-003   5.0647730256631798E-003
 -0.61383464044218161        3.2266346246080380E-003  -1.6292901282839950E-003   5.7805880617973412E-003
 -0.64286040177557302        3.3340774893091951E-003   5.2260740169700024E-005   6.3404236758668030E-003
 -0.67323935955475056        3.3963606216059761E-003  -2.5439172369912436E-003   7.1677244948365297E-003
 -0.70457431911117696        3.6399077303519434E-003  -4.1251252320934090E-003   8.0594739033763504E-003
 -0.73713636977833663        3.6296131471237336E-003  -8.8049370307820242E-004   9.1379763490052109E-003
 -0.76892285111267145        3.6889968291782260E-003   6.4294055417372011E-003   9.9940540776142367E-003
 -0.80451525200292806        3.9774955723527183E-003  -8.1710033497408695E-003   1.2336947666277732E-002
 -0.84311932267099921        4.3224506290975295E-003   4.0952834179690560E-003   1.4711966470145586E-002
 -0.88024957867233589        4.2672136119457083E-003  -6.4542207009485198E-003   1.6557257970020153E-002
 -0.92005733645028420        4.5191989926319787E-003   1.2483883057951990E-002   2.3128044324410815E-002
