H C M X
  -2.0094451999898542E-002   4.9962186787099218E-003  -2.1621243631453295E-004   2.6129541501489174E-003
  -3.9763536000046694E-002   4.9905181647446409E-003   4.8043917136302564E-004   2.7204323966524024E-003
  -5.9662904000275081E-002   5.0605933862787611E-003   1.2492511484798145E-004   2.8215935478829376E-003
  -7.9880505000407789E-002   5.0067354907445917E-003   1.7550644309549185E-004   2.9460279357691899E-003
  -9.9988871000318988E-002   5.0196508657634614E-003  -1.0405605354124811E-003   3.0605365430910027E-003
 -0.12090705200034194        5.0932639765557796E-003   1.9139693693747336E-004   3.2576383988909231E-003
 -0.14125344699843087        5.1089472615194718E-003  -1.8739511229508967E-005   3.3593032162407893E-003
 -0.16122283499565768        5.1232453669446953E-003   5.2368432943572399E-004   3.5908304754629014E-003
 -0.18234152399346779        5.2022093078120876E-003  -3.0360615789259862E-004   3.7214313892413582E-003
 -0.20314369199318641        5.2559692424068299E-003  -9.0011399165298739E-004   3.8951847892646626E-003
 -0.22438665799628366        5.3016566514568070E-003   8.0798333457703976E-005   4.1306227470553486E-003
 -0.24615009099929855        5.3877869094096503E-003  -1.8281654887493444E-004   4.3538065781108517E-003
 -0.26715127600105898        5.4112226909460159E-003   3.5883965659423630E-004   4.5889363237721992E-003
 -0.28889171700109489        5.5021445195621299E-003   2.3042521261987690E-004   4.8352298776585421E-003
 -0.31139818100016103        5.5837084624208444E-003   1.1118938569244376E-004   5.1967760271597156E-003
 -0.33416595599947602        5.6112835747551548E-003   1.0120527412261976E-004   5.5391217372101099E-003
 -0.35722290899935172        5.7216307793181154E-003  -5.7267609314450322E-004   5.8403410700420474E-003
 -0.38017821500036458        5.9354469301620971E-003   2.7722255246965025E-004   6.2409283541265508E-003
 -0.40486856500171597        5.9360785016658035E-003  -9.5808715627006413E-005   6.7252703473014057E-003
 -0.42833115400271315        6.1309226458093891E-003  -1.9753127786325121E-004   7.1659780137543483E-003
 -0.45283968200293240        6.2085674355341625E-003   5.2743582350328936E-004   7.5633902563427922E-003
 -0.47836959300178317        6.3590070104646290E-003  -4.4459599006250501E-004   8.4462472768233720E-003
 -0.50340427600025117        6.4922687134454371E-003  -2.0860118527585027E-003   8.9952582451842521E-003
 -0.53029349599789100        6.6914650753351901E-003  -1.0862947992822056E-004   9.7688769948077459E-003
 -0.55882592699635647        6.8323671647247952E-003   3.0211965220041119E-004   1.0710181954099909E-002
 -0.58524152399628770        7.0846911131354773E-003  -2.5869054684278064E-004   1.2025539931471322E-002
