H C M X
  -1.9774877999997609E-002   1.2634422676041318E-003  -1.3747349545609904E-004   6.3933240707210134E-004
  -4.0094056249951895E-002   1.2238239203004571E-003   4.0299537482746145E-004   6.7147328494725678E-004
  -5.9753588000009884E-002   1.2484317674335693E-003   6.3334969165757275E-004   7.0405114910319607E-004
  -8.1017816000027665E-002   1.2654093758085582E-003  -8.4388495184403931E-005   7.2501361546652013E-004
 -0.10109794625002790        1.2821495606377409E-003   4.5577229851343729E-004   7.6678155408228669E-004
 -0.12005378074997212        1.2808574852130640E-003  -5.1815621907628628E-004   7.7807558452780889E-004
 -0.14016006824994798        1.2837591650315325E-003  -1.8822657961002574E-004   8.4716603197985594E-004
 -0.16194533574997252        1.2998933211953480E-003  -2.3982100345365938E-004   8.7774715201391427E-004
 -0.18239990925007643        1.3060354704557339E-003  -2.4583091361905356E-004   9.2908905519659330E-004
 -0.20354008600005988        1.3109944874058546E-003  -1.3898117765320534E-004   9.9286656002621292E-004
 -0.22515655550001845        1.3357547511733958E-003   5.5800636926077541E-005   1.0094155680309630E-003
 -0.24630169549999895        1.3171005015809034E-003  -1.1245681261917487E-003   1.0921181166392837E-003
 -0.26672134275006992        1.3341196332544158E-003   1.5686643147222170E-003   1.1421095968119116E-003
 -0.28922935075002904        1.3645685556728793E-003   8.2123136318528256E-005   1.2577069498503556E-003
 -0.31117617750000598        1.3795244264192125E-003  -1.4775109971810426E-005   1.3205491735875129E-003
 -0.33352416775000532        1.4384306440234640E-003  -6.0102541325846868E-005   1.3364018047042814E-003
 -0.35709905100002975        1.4426796430491440E-003  -1.4261639944281252E-003   1.4303066724822304E-003
 -0.38129465449997818        1.4622177915455115E-003   4.3629030489672932E-004   1.5508635805896894E-003
 -0.40303428474995034        1.4978929709452693E-003   1.1092520134631200E-003   1.7651285183083877E-003
 -0.42842949750022319        1.5192717612686479E-003   8.6852008187727895E-004   1.8873463951971693E-003
 -0.45234413849996058        1.5479029811268641E-003  -4.7016567315120820E-004   1.9013659617813992E-003
 -0.47881496550003533        1.6268101675376012E-003  -1.0014450936785102E-003   2.1561122289564566E-003
 -0.50305423599991028        1.6261884147126815E-003  -1.4992320617680929E-003   2.3676016115756317E-003
 -0.53121278424998453        1.6690902558111897E-003   1.2754312949838349E-003   2.5099779490812490E-003
 -0.55775856775018084        1.7394922867180473E-003   1.6587962825761074E-003   2.5685168777446078E-003
 -0.58430268174988909        1.7636341095140229E-003   6.3447374693299564E-003   2.9234256690656470E-003
 -0.61262626474998794        1.8488498367648099E-003  -1.0612294614763178E-003   3.0545632256113449E-003
 -0.64287820774991766        1.8387279168930459E-003   3.0172201538831256E-003   3.4854731517250967E-003
 -0.67282075625002968        1.9661793621435497E-003  -2.8292892847188965E-003   4.1715884242435643E-003
 -0.70274314700008234        2.0867621854024909E-003  -1.4902729655910233E-003   4.5623582935795754E-003
 -0.73769816300027324        2.0739111582184222E-003  -1.0154504761152919E-003   5.5560834135843029E-003
 -0.77133462900021876        2.2723010823778589E-003   4.3765004701912274E-004   6.3468132140192084E-003
 -0.80489898224984524        2.2073236332988966E-003  -3.0685558464848108E-003   7.3184405060285522E-003
 -0.84119552700025946        2.4671436755104859E-003   1.3793438788233095E-002   7.2928824089842940E-003
 -0.87735771199989021        2.6298874830948948E-003   6.5134508403124789E-003   9.3935533359912581E-003
 -0.91943778650022112        2.6441538219650340E-003  -1.0463683936266809E-002   1.2900149298539065E-002
 -0.96323798024992158        2.7932764513958208E-003   1.2298800315555561E-002   1.3725308560768690E-002
  -1.0048169435000893        2.8286068894305405E-003   5.3164296085761757E-003   1.9499543536540508E-002
  -1.0502363062497846        2.9611393254107554E-003  -1.1120134864384763E-003   1.9514750086358841E-002
  -1.1068190055007439        3.6763171508686909E-003  -1.2513847210058980E-002   3.9775466413730323E-002
  -1.1553593859997600        3.7629118612716450E-003  -2.6955106955412613E-002   5.0418663756297534E-002
  -1.2401144654986911        5.2272458376350084E-003   5.5271897200748592E-002  0.13307754301304442     
  -1.2846622949997795        5.2956213820323228E-003 -0.15839695911736143        9.8168152066016104E-002
  -1.3897831240004119        8.7276353070353530E-003  0.32292966858094951       0.18947483124436526     
  -1.4974178294995315        6.8758624436839888E-003 -0.70950392525738715        2.6141673527353304E-002
  -1.5740816957499362        5.6911229212186498E-003  0.79352187543698594        1.4260354344503123E-002
  -1.6150547117493772        6.1843901099245535E-003 -0.78632696766558896        4.0113061297306074E-002
  -1.6721523197503003        4.3850119959132350E-003  0.85813813810242678        1.4165945935983637E-002
  -1.7035240690001958        4.7276381268037682E-003 -0.87548497268114200        1.0813204606275661E-002
  -1.7239691574985865        5.6036054338171049E-003  0.85552967949051950        2.8777707164491795E-002
  -1.7478354509990681        6.4133064824165587E-003  0.82065448930951512        7.8189086374905070E-002
  -1.7863961320003516        4.1497033720818699E-003  0.90978026400286238        1.3539577144341952E-002
  -1.8109637842501600        2.9283771229104971E-003  0.92806057789683394        7.1829035825546894E-003
  -1.8294643432488531        2.6472157551178377E-003  0.94048301010445134        2.9442689056021765E-003
  -1.8459012197505102        3.2762669732120386E-003 -0.94242349017504456        7.2322752987261651E-003
  -1.8329857160017018        6.6645673366809710E-003 -0.82155683564816528        9.3356790155564529E-002
  -1.8692133409989684        3.1189596946799014E-003 -0.93590904810077191        1.6639460736698974E-002
  -1.8247950907529831        8.6802768166958089E-003 -0.62001678414962913       0.22401107398641695     
  -1.8921382784994918        2.9451783675646936E-003 -0.95420501367142718        7.7096610919079600E-003
  -1.8487109899973504        8.4079522215860791E-003  0.62560373469890929       0.25618665822724096     
  -1.9090810982500666        2.9976953621306812E-003 -0.95492403811378557        1.0709935674072968E-002
  -1.9138052989981178        3.2710453712119225E-003 -0.94231840031406300        2.5991896175419860E-002
  -1.9252355377498231        2.3333678176120642E-003 -0.96734494995537978        5.8020954252830936E-003
  -1.9332874152521144        2.1128933711329623E-003  0.97514809393195678        3.9653175428708831E-003
  -1.8878600155050076        7.3144191358354149E-003 -0.70578862895226813       0.16793102890116002     
  -1.9397525610062702        2.8159005097418977E-003  0.96138683961815252        1.5222591066752611E-002
  -1.9459223695065486        2.2765003903666425E-003  0.96912171532068947        1.0786179117010852E-002
  -1.9179937057620153        5.4565105666797287E-003 -0.79372380244828289       0.12785957725561392     
  -1.9199970340070818        5.8288377078250520E-003 -0.82640419623989581        8.4816631610886262E-002
  -1.8102622032504041        1.2326735379386555E-003  -4.1678571233805521E-002   4.1984534830987325E-002
  -1.9621178962622106        1.8787696940614218E-003 -0.98104906809610615        5.4322093200653843E-003
