H C M X
  -1.9611575999926332E-002   1.9986445926457663E-002   4.4109340084903673E-005   1.0397043189587805E-002
  -4.0335443999827213E-002   2.0055329237327172E-002  -4.4739998999983072E-005   1.0875447991922057E-002
  -5.9990023999466187E-002   2.0084207900952555E-002   8.6227315897863816E-005   1.1364939456024572E-002
  -8.0001103998768530E-002   2.0192844159907606E-002   5.7076132837857491E-004   1.1750108747581403E-002
 -0.10044839199804555        2.0248503586422072E-002   5.1381128128689646E-005   1.2347193488668882E-002
 -0.12059763599909071        2.0321537391385272E-002   9.5501527544555328E-005   1.2903762901516168E-002
 -0.14081223600028411        2.0538551790627590E-002   6.8323443185856671E-004   1.3508164226815219E-002
 -0.16128250000138133        2.0637998549466179E-002  -1.0170922127230189E-003   1.4183161813936015E-002
 -0.18199654800213619        2.0941587550087043E-002   5.5278154028654664E-004   1.4923841964245118E-002
 -0.20358077600272959        2.0994587955825587E-002  -6.8908774940321734E-004   1.5697264893301872E-002
 -0.22504266800433761        2.1154533093262186E-002   1.5952467855030183E-004   1.6558536172148367E-002
 -0.24539548800469707        2.1395801025158659E-002   1.0168176259149259E-004   1.7396223522774479E-002
 -0.26713801600386949        2.1790588246548101E-002  -2.8464909960259954E-004   1.8479210507914578E-002
 -0.28839037600201045        2.1993930552460447E-002  -2.7977109970892282E-004   1.9316656303735032E-002
 -0.31203650799956262        2.2371398960773919E-002   1.0732488933097356E-003   2.0732411221036747E-002
 -0.33447668399700209        2.2655782266454261E-002   1.8913488980838283E-004   2.1790277933843357E-002
 -0.35740527199493383        2.3210188670809206E-002   7.6355274030689917E-007   2.3469391189632455E-002
 -0.37921769999340194        2.3549811049064784E-002   9.3238423764744379E-004   2.4757561204235310E-002
 -0.40274627199266733        2.3928583430450456E-002  -6.6852200839392461E-004   2.6589809454560305E-002
 -0.42825951199525769        2.4540555177159806E-002  -3.7730554451590771E-004   2.8624487920040610E-002
 -0.45364305600052274        2.5047496132166003E-002   3.0536709893216565E-004   3.0901498248611887E-002
 -0.47905226400117762        2.5394341784577834E-002   2.8968203825224088E-003   3.3731039645682422E-002
 -0.50459110800036666        2.6215631159745012E-002  -2.1037880318025671E-006   3.5898470669224518E-002
 -0.53038504799389252        2.6669772540685532E-002  -2.2558172908367113E-003   3.9175844662894629E-002
 -0.55813738798518819        2.7602615973242428E-002   2.0878979533318432E-003   4.3251082547766169E-002
 -0.58628868397484446        2.8165240967346628E-002   2.0505744015814164E-003   4.7142724198785881E-002
 -0.61275583996423222        2.9115101398160093E-002   2.2495932909840982E-003   5.1593090229610034E-002
 -0.64466431995234885        3.0306070114382022E-002  -4.7900801285091874E-004   5.7798814531061303E-002
 -0.67548337994215102        3.1426171601517228E-002   1.7171455377756975E-003   6.4417547862465452E-002
 -0.70623077193509265        3.2576276470068721E-002  -2.2957435013247966E-003   7.1503396043548981E-002
 -0.74017328792966497        3.4223935844164166E-002   4.9618496786380988E-003   8.2204400786894088E-002
 -0.77418937192806270        3.6097837672857680E-002  -3.7688641502943328E-003   9.3598637857437023E-002
 -0.81407486393276551        3.9294284538744617E-002  -2.6994548108183647E-003  0.11055819442267495     
 -0.85400571194434727        4.2345591779245351E-002   5.7029101072592590E-003  0.12703515212348257     
 -0.89508557996318860        4.5199342263799847E-002  -6.5129354075868185E-003  0.14720360604743171     
 -0.94383129198249760        5.0091387426677958E-002  -2.9343234449039236E-002  0.17478560476854618     
 -0.99342021199396324        5.5340704602910851E-002   2.8247986194768942E-003  0.20608183627566407     
  -1.0519066120022329        5.9478250651120224E-002   1.1842302113422071E-003  0.24858270376395725     
  -1.1190815000056449        6.6141085151119050E-002  -2.5127926099181176E-002  0.30039487036331008     
  -1.1845009680036345        7.1804326585501288E-002   6.2556887535087750E-003  0.35416350654147111     
  -1.2557675879977570        7.4306014740303183E-002   2.6649369615472523E-002  0.41444760124079366     
  -1.3311387439933113        7.2830428624495180E-002   3.0817568413779816E-002  0.48319257366671786     
  -1.4064653679876451        7.0850088409126766E-002   1.8338941165761995E-002  0.55096176652545803     
  -1.4726624119871097        6.5241202942276200E-002   1.0772722866546496E-002  0.60950394236988892     
  -1.5321305199862918        5.8964690894299565E-002   7.2962248140891445E-002  0.65566205578812409     
  -1.5914941479925366        5.0450899658486037E-002  0.18704326028236720       0.68018694739221264     
  -1.6398278839906466        4.4111365464135410E-002   6.5324497431070300E-002  0.75051469162275020     
  -1.6808444919946308        3.7698956773455361E-002  0.21965678483138207       0.73989615866916902     
  -1.7172123680025935        3.2530743960218267E-002  0.53279414009112269       0.53335785529099478     
  -1.7488326320116001        2.8062727244198005E-002 -0.91370290942910459        6.5274000302724122E-003
  -1.7725278240181326        2.5338624368638207E-002  0.55231375833491003       0.55272217127266299     
  -1.7947430960257718        2.2573481887610658E-002  0.55600386921117739       0.56393796068746860     
  -1.8176681960332726        1.9307329471677015E-002 -0.30140528679934636       0.79901810981034327     
  -1.8350910760391235        1.7320839263411880E-002 -0.19050196910980655       0.86514712812571204     
  -1.8513243480421200        1.5247633488874257E-002 -0.95412203800498130        2.2224960806769278E-003
  -1.8655866080485601        1.3536904570595532E-002  0.95914671435830723        1.8546869215417816E-003
  -1.8774859760518114        1.2120668632799703E-002  0.96315727032429987        1.5963994295056239E-003
  -1.8903487840543669        1.0640083244357168E-002 -0.96762311205701190        1.2841816927279259E-003
  -1.8997764280555525        9.7584883006831546E-003 -0.97048471156378924        1.2698171193329388E-003
  -1.9083844200590103        8.9394474171582416E-003 -0.97330661133035179        1.0755480405537643E-003
  -1.9176413840603896        7.9029994318693397E-003  0.97634256637656058        8.7480600369205241E-004
  -1.9245566160599246        7.2531344384336727E-003 -0.97838426292734737        8.0643981562744660E-004
  -1.9316173440575242        6.4596103131688842E-003 -0.98065290013083461        6.6172028259736670E-004
  -1.9371194840603359        5.8657142994444911E-003  0.98234216483573145        5.9598642398017709E-004
  -1.9432532000616305        5.2919044813499738E-003 -0.98400899400568453        7.2212076227995414E-004
  -1.9486105800590414        4.7033325609326937E-003 -0.98573028861003542        4.4892289725784185E-004
