H C M X
  -1.9889617647724928E-002   1.9741128040501863E-004  -4.6179153853771733E-006   1.0399133372069579E-004
  -4.0111116151415341E-002   1.9921247946490402E-004  -1.3460473722646526E-004   1.0806984742259665E-004
  -6.0110599288002262E-002   1.9894281932082356E-004  -8.4596772656868731E-005   1.1351647449429967E-004
  -7.9887562151857328E-002   2.0059068838750721E-004   1.0586564450478083E-004   1.2267420819057310E-004
 -0.10041456272870139        2.0124735946926847E-004   4.5973554806390000E-005   1.2060318376037151E-004
 -0.12036110508059075        2.0289146623911694E-004  -8.2297505673146671E-006   1.3100928704153997E-004
 -0.14095701851838552        2.0563020068723251E-004  -9.6734168417182475E-005   1.3134013612437992E-004
 -0.16186177226333992        2.0601257481158569E-004   1.9600347788275375E-004   1.4440954566905171E-004
 -0.18216252687289436        2.0867773593306882E-004  -1.9752508672163355E-004   1.4672253411565812E-004
 -0.20314300869482771        2.1390303448645676E-004   2.7899514059122354E-004   1.5749519537804738E-004
 -0.22443749818233105        2.1052922662985474E-004   4.6585953802827879E-005   1.6534357269053777E-004
 -0.24575137972820815        2.1856501338368001E-004  -1.4519640262276599E-004   1.7034889944048497E-004
 -0.26740268827187752        2.2194462021360439E-004  -1.3686493444140833E-004   1.7630997212530496E-004
 -0.28948612951293318        2.2517554593640132E-004   7.9316896661212535E-005   1.9941169855822660E-004
 -0.31154577176184001        2.2700753255350259E-004   3.4921043138297594E-005   2.0817337940058362E-004
 -0.33431573939570325        2.2861394988639427E-004  -7.4235194794294325E-004   2.2906495391084524E-004
 -0.35721996393733546        2.3436347396055268E-004  -2.7538529678681903E-006   2.3459151277893772E-004
 -0.38051180999032880        2.4576829694269997E-004   3.7800311771968607E-004   2.5253028307920824E-004
 -0.40374303666354133        2.4973331161490253E-004   1.3037497299542845E-004   2.5991325899089250E-004
 -0.42816572426682958        2.6038897118110804E-004  -2.0881206879107806E-004   2.9859381977107648E-004
